REGION,K-12 SCHOOLS,DIVISION,DATE ANNOUNCED,Earliest Exposure,Earliest + 14 days,Lastest + 14 days,POSSIBLE OUTBREAK,CASES,Total Cases,GRADE LEVELS,DAYS OF EXPOSURE,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Varennes 
(22 Varennes Ave)",LRSD,"October 26, 2020",October 19,November 2,November 16,1,1,3,K-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Tyndall Park School 
(2221 King Edward St)",WSD,"October 26, 2020","October 13, 2020","October 27, 2020",November 4,1,1,2,K-6,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Howden
(150 Howden Rd)",LRSD,"October 27, 2020",October 19,November 2,November 2,0,1,1,K-6,,,,,,,,,,,,,,,,,,,
WINNIPEG,"The Manitoba School for the Deaf 
(242 Stradford St.)",INSTITUTIONAL,"October 27, 2020?",October 19,November 2,November 2,0,1,1,K-12,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,"October 27, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Linwood School 
(266 Linwood St.)",SJASD,"October 28, 2020",October 14,October 28,October 28,0,1,1,K-5,,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Garden Grove
(2340 Burrows Ave)",WSD,"October 27, 2020",October 20,November 3,November 6,1,1,3,K-6,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
